"EXPT","YR","TRIAL","LOC","ENTRY","ID","FHB09","INC","SEV","FDK","DON","HDYR","SDQ09"
"USSN",22,"USSN22ARN","ARN",4,"LINE4",0.37037037037037,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",5,"LINE5",6.85185185185185,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",6,"LINE6",0.555555555555556,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",7,"LINE7",0.555555555555556,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",8,"LINE8",1.48148148148148,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",9,"LINE9",0.185185185185185,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",10,"LINE10",0,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",11,"LINE11",0.185185185185185,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",12,"LINE12",0.740740740740741,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",13,"LINE13",0.555555555555556,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",14,"LINE14",0.555555555555556,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",15,"LINE15",0.37037037037037,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",16,"LINE16",0.925925925925926,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",17,"LINE17",1.2962962962963,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",18,"LINE18",0.740740740740741,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",19,"LINE19",0.37037037037037,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",20,"LINE20",0.740740740740741,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",21,"LINE21",2.22222222222222,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",22,"LINE22",1.85185185185185,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",23,"LINE23",2.40740740740741,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",24,"LINE24",0.555555555555556,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",25,"LINE25",0.185185185185185,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",26,"LINE26",0.185185185185185,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",27,"LINE27",0.185185185185185,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",28,"LINE28",1.48148148148148,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",29,"LINE29",0.555555555555556,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",30,"LINE30",2.03703703703704,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",31,"LINE31",2.77777777777778,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",32,"LINE32",1.66666666666667,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",33,"LINE33",4.07407407407407,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",34,"LINE34",1.85185185185185,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",35,"LINE35",4.25925925925926,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",36,"LINE36",1.11111111111111,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",37,"LINE37",0.925925925925926,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",38,"LINE38",0.740740740740741,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",39,"LINE39",0.925925925925926,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",40,"LINE40",0.925925925925926,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",41,"LINE41",1.66666666666667,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",42,"LINE42",4.25925925925926,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",43,"LINE43",2.59259259259259,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",44,"LINE44",1.85185185185185,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",45,"LINE45",1.48148148148148,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",46,"LINE46",1.48148148148148,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",47,"LINE47",1.2962962962963,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",48,"LINE48",0.555555555555556,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",49,"LINE49",1.85185185185185,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",50,"LINE50",2.77777777777778,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",51,"LINE51",0.925925925925926,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",52,"LINE52",1.48148148148148,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",53,"LINE53",0.37037037037037,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",54,"LINE54",1.85185185185185,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",55,"LINE55",2.59259259259259,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",56,"LINE56",0.555555555555556,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",57,"LINE57",0,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",58,"LINE58",0.185185185185185,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",59,"LINE59",0.37037037037037,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",60,"LINE60",2.40740740740741,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",61,"LINE61",0.37037037037037,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",62,"LINE62",2.40740740740741,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",63,"LINE63",2.77777777777778,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",64,"LINE64",2.40740740740741,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",65,"LINE65",1.11111111111111,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",66,"LINE66",1.11111111111111,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",1,"LINE1",1.4,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",2,"LINE2",3,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",3,"LINE3",NA,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",4,"LINE4",2.6,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",5,"LINE5",NA,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",6,"LINE6",NA,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",7,"LINE7",NA,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",8,"LINE8",NA,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",9,"LINE9",0.2,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",10,"LINE10",0.4,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",11,"LINE11",NA,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",12,"LINE12",0.2,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",13,"LINE13",9,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",14,"LINE14",9,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",15,"LINE15",5,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",16,"LINE16",2.4,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",17,"LINE17",7.8,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",18,"LINE18",4.2,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",19,"LINE19",6.2,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",20,"LINE20",1.4,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",21,"LINE21",0.2,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",22,"LINE22",1.4,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",23,"LINE23",4.6,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",24,"LINE24",3.4,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",25,"LINE25",0.6,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",26,"LINE26",0.2,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",27,"LINE27",0,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",28,"LINE28",0.4,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",29,"LINE29",1.4,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",30,"LINE30",0.4,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",31,"LINE31",2.4,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",32,"LINE32",2.2,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",33,"LINE33",0.2,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",34,"LINE34",0.6,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",35,"LINE35",0.2,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",36,"LINE36",0.2,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",37,"LINE37",0.2,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",38,"LINE38",0.6,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",39,"LINE39",1.2,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",40,"LINE40",0.6,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",41,"LINE41",1,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",42,"LINE42",1.2,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",43,"LINE43",0.4,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",44,"LINE44",1,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",45,"LINE45",1,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",46,"LINE46",0.4,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",47,"LINE47",0.4,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",48,"LINE48",1.2,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",49,"LINE49",0.6,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",50,"LINE50",0.4,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",51,"LINE51",0.4,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",52,"LINE52",1,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",53,"LINE53",1.2,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",54,"LINE54",0.4,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",55,"LINE55",0.4,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",56,"LINE56",0.2,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",57,"LINE57",0.2,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",58,"LINE58",0.2,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",59,"LINE59",1.2,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",60,"LINE60",1.4,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",61,"LINE61",0.2,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",62,"LINE62",1.4,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",63,"LINE63",2,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",64,"LINE64",0.8,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",65,"LINE65",0.8,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22GAP","GAP",66,"LINE66",NA,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ILU","ILU",1,"LINE1",1.12,55.65,12.32,18.79,NA,134.56,NA
"USSN",22,"USSN22ILU","ILU",2,"LINE2",8.40090909090909,91.26,92.41,83.53,NA,138.53,NA
"USSN",22,"USSN22ILU","ILU",3,"LINE3",3.08545454545455,51.28,33.94,32.98,NA,138.08,NA
"USSN",22,"USSN22ILU","ILU",4,"LINE4",1.94818181818182,75.59,21.43,30.33,NA,135.98,NA
"USSN",22,"USSN22ILU","ILU",5,"LINE5",8.33090909090909,96.82,91.64,92.39,NA,137.57,NA
"USSN",22,"USSN22ILU","ILU",6,"LINE6",1.14545454545455,61.04,12.6,20.21,NA,137.52,NA
"USSN",22,"USSN22ILU","ILU",7,"LINE7",3.44181818181818,94.48,37.86,53.76,NA,138,NA
"USSN",22,"USSN22ILU","ILU",8,"LINE8",2.73272727272727,80.87,30.06,59.55,NA,139.04,NA
"USSN",22,"USSN22ILU","ILU",9,"LINE9",0.282727272727273,12.98,3.11,19.5,NA,138,NA
"USSN",22,"USSN22ILU","ILU",10,"LINE10",0.646363636363636,24.52,7.11,28.7,NA,137.47,NA
"USSN",22,"USSN22ILU","ILU",11,"LINE11",1.00454545454545,41.19,11.05,20.9,NA,138.57,NA
"USSN",22,"USSN22ILU","ILU",12,"LINE12",3.07272727272727,72.99,33.8,22.86,NA,138.45,NA
"USSN",22,"USSN22ILU","ILU",13,"LINE13",1.35636363636364,30.21,14.92,52.87,NA,140.98,NA
"USSN",22,"USSN22ILU","ILU",14,"LINE14",4.17909090909091,76.89,45.97,38.9,NA,137.48,NA
"USSN",22,"USSN22ILU","ILU",15,"LINE15",1.05272727272727,74.78,11.58,31.26,NA,133.95,NA
"USSN",22,"USSN22ILU","ILU",16,"LINE16",4.73272727272727,74.64,52.06,61.35,NA,136.94,NA
"USSN",22,"USSN22ILU","ILU",17,"LINE17",2.68909090909091,80.76,29.58,66.87,NA,136.47,NA
"USSN",22,"USSN22ILU","ILU",18,"LINE18",1.04363636363636,17.01,11.48,46.84,NA,139.99,NA
"USSN",22,"USSN22ILU","ILU",19,"LINE19",0.63,10.14,6.93,26.49,NA,137.95,NA
"USSN",22,"USSN22ILU","ILU",20,"LINE20",2.16818181818182,72.03,23.85,33.29,NA,136.01,NA
"USSN",22,"USSN22ILU","ILU",21,"LINE21",6.17272727272727,96.14,67.9,43.94,NA,136.99,NA
"USSN",22,"USSN22ILU","ILU",22,"LINE22",6.11909090909091,48.61,67.31,61.95,NA,139.02,NA
"USSN",22,"USSN22ILU","ILU",23,"LINE23",5.74818181818182,88.8,63.23,65.48,NA,138.06,NA
"USSN",22,"USSN22ILU","ILU",24,"LINE24",1.59181818181818,55.38,17.51,16.54,NA,138.02,NA
"USSN",22,"USSN22ILU","ILU",25,"LINE25",0.616363636363636,2.5,6.78,11.54,NA,137.01,NA
"USSN",22,"USSN22ILU","ILU",26,"LINE26",0.94,60.45,10.34,11.26,NA,135.95,NA
"USSN",22,"USSN22ILU","ILU",27,"LINE27",1.09363636363636,15.25,12.03,18.19,NA,137.46,NA
"USSN",22,"USSN22ILU","ILU",28,"LINE28",6.20818181818182,86.55,68.29,56.66,NA,136.95,NA
"USSN",22,"USSN22ILU","ILU",29,"LINE29",3.07181818181818,54.91,33.79,33.72,NA,137.52,NA
"USSN",22,"USSN22ILU","ILU",30,"LINE30",3.19,36.97,35.09,30.72,NA,138.94,NA
"USSN",22,"USSN22ILU","ILU",31,"LINE31",5.73181818181818,82.9,63.05,58.47,NA,136.48,NA
"USSN",22,"USSN22ILU","ILU",32,"LINE32",2.45909090909091,73.61,27.05,47.38,NA,137.58,NA
"USSN",22,"USSN22ILU","ILU",33,"LINE33",4.60454545454545,93.85,50.65,59.8,NA,136,NA
"USSN",22,"USSN22ILU","ILU",34,"LINE34",6.54454545454545,89.35,71.99,82.83,NA,137.56,NA
"USSN",22,"USSN22ILU","ILU",35,"LINE35",8.17545454545455,90.62,89.93,83.31,NA,136.99,NA
"USSN",22,"USSN22ILU","ILU",36,"LINE36",1.87,71.66,20.57,54.01,NA,140.01,NA
"USSN",22,"USSN22ILU","ILU",37,"LINE37",2.24818181818182,72.42,24.73,41.62,NA,137.94,NA
"USSN",22,"USSN22ILU","ILU",38,"LINE38",5.33272727272727,66.32,58.66,34.46,NA,136.95,NA
"USSN",22,"USSN22ILU","ILU",39,"LINE39",5.01181818181818,58.16,55.13,67.72,NA,137.5,NA
"USSN",22,"USSN22ILU","ILU",40,"LINE40",2.59545454545455,86.53,28.55,68.47,NA,138.48,NA
"USSN",22,"USSN22ILU","ILU",41,"LINE41",3.97181818181818,73.99,43.69,55.22,NA,138.58,NA
"USSN",22,"USSN22ILU","ILU",42,"LINE42",6.84545454545454,96.52,75.3,77.95,NA,136.95,NA
"USSN",22,"USSN22ILU","ILU",43,"LINE43",7.21181818181818,90.43,79.33,69.7,NA,134.48,NA
"USSN",22,"USSN22ILU","ILU",44,"LINE44",6.43909090909091,78.56,70.83,69.63,NA,136.46,NA
"USSN",22,"USSN22ILU","ILU",45,"LINE45",4.09454545454545,51.61,45.04,68.6,NA,140.07,NA
"USSN",22,"USSN22ILU","ILU",46,"LINE46",2.48454545454545,76.24,27.33,43.28,NA,134.96,NA
"USSN",22,"USSN22ILU","ILU",47,"LINE47",2.66181818181818,93.43,29.28,58.39,NA,136.44,NA
"USSN",22,"USSN22ILU","ILU",48,"LINE48",2.18636363636364,66.44,24.05,50.2,NA,137.05,NA
"USSN",22,"USSN22ILU","ILU",49,"LINE49",3.85545454545455,92.94,42.41,81.88,NA,136.96,NA
"USSN",22,"USSN22ILU","ILU",50,"LINE50",4.70909090909091,88.43,51.8,60.06,NA,136.99,NA
"USSN",22,"USSN22ILU","ILU",51,"LINE51",3.56818181818182,58.45,39.25,61.32,NA,138.52,NA
